timestamp,src,dst,proto
2025-04-27 20:43:08,100.64.1.43,224.0.0.251,17
2025-04-27 20:43:08,100.64.11.132,224.0.0.251,17
2025-04-27 20:43:08,100.64.3.3,224.0.0.251,17
2025-04-27 20:43:08,104.18.36.252,100.64.3.15,6
2025-04-27 20:43:08,100.64.3.15,104.18.36.252,6
2025-04-27 20:43:08,100.64.3.38,224.0.0.251,17
2025-04-27 20:43:08,100.64.1.207,224.0.0.251,17
2025-04-27 20:43:08,104.18.36.252,100.64.3.15,6
2025-04-27 20:43:08,100.64.5.73,224.0.0.251,17
2025-04-27 20:43:08,100.64.1.250,224.0.0.251,17
2025-04-27 20:43:08,100.64.1.207,224.0.0.251,17
2025-04-27 20:43:09,100.64.3.15,104.18.32.47,6
2025-04-27 20:43:09,100.64.3.15,104.18.32.47,6
2025-04-27 20:43:09,104.18.32.47,100.64.3.15,6
2025-04-27 20:43:09,104.18.32.47,100.64.3.15,6
2025-04-27 20:43:09,104.18.32.47,100.64.3.15,6
2025-04-27 20:43:09,104.18.32.47,100.64.3.15,6
2025-04-27 20:43:09,104.18.32.47,100.64.3.15,6
2025-04-27 20:43:09,104.18.32.47,100.64.3.15,6
2025-04-27 20:43:09,104.18.32.47,100.64.3.15,6
2025-04-27 20:43:09,104.18.32.47,100.64.3.15,6
2025-04-27 20:43:09,100.64.3.15,104.18.32.47,6
2025-04-27 20:43:09,100.64.1.207,224.0.0.251,17
2025-04-27 20:43:11,100.64.1.43,224.0.0.251,17
2025-04-27 20:43:11,100.64.1.207,224.0.0.251,17
2025-04-27 20:43:13,100.64.13.126,224.0.0.251,17
2025-04-27 20:43:14,100.64.1.43,224.0.0.251,17
2025-04-27 20:43:14,208.103.161.2,100.64.3.15,6
2025-04-27 20:43:14,100.64.3.15,208.103.161.2,6
2025-04-27 20:43:14,208.103.161.2,100.64.3.15,6
2025-04-27 20:43:15,100.64.1.43,224.0.0.251,17
2025-04-27 20:43:15,100.64.3.3,224.0.0.251,17
2025-04-27 20:43:15,100.64.1.250,224.0.0.251,17
2025-04-27 20:43:15,100.64.5.73,224.0.0.251,17
2025-04-27 20:43:15,100.64.11.132,224.0.0.251,17
2025-04-27 20:43:15,100.64.1.207,224.0.0.251,17
2025-04-27 20:43:15,100.64.3.38,224.0.0.251,17
2025-04-27 20:43:15,100.64.1.207,224.0.0.251,17
2025-04-27 20:43:16,100.64.3.15,104.21.48.1,6
2025-04-27 20:43:16,104.21.48.1,100.64.3.15,6
2025-04-27 20:43:16,100.64.12.241,224.0.0.251,17
2025-04-27 20:43:17,100.64.12.241,224.0.0.251,17
2025-04-27 20:43:17,100.64.3.3,224.0.0.251,17
2025-04-27 20:43:17,100.64.11.121,224.0.0.251,17
2025-04-27 20:43:17,100.64.0.46,224.0.0.251,17
2025-04-27 20:43:17,100.64.11.132,224.0.0.251,17
2025-04-27 20:43:17,100.64.1.250,224.0.0.251,17
2025-04-27 20:43:17,100.64.14.137,224.0.0.251,17
2025-04-27 20:43:17,100.64.10.206,224.0.0.251,17
2025-04-27 20:43:17,100.64.4.104,224.0.0.251,17
2025-04-27 20:43:17,100.64.5.73,224.0.0.251,17
2025-04-27 20:43:17,100.64.13.236,224.0.0.251,17
2025-04-27 20:43:17,100.64.6.21,224.0.0.251,17
2025-04-27 20:43:17,100.64.1.207,224.0.0.251,17
2025-04-27 20:43:17,100.64.3.38,224.0.0.251,17
2025-04-27 20:43:17,100.64.3.15,74.125.26.188,6
2025-04-27 20:43:17,74.125.26.188,100.64.3.15,6
2025-04-27 20:43:18,100.64.1.43,224.0.0.251,17
2025-04-27 20:43:19,208.103.161.2,100.64.3.15,6
2025-04-27 20:43:19,100.64.3.15,208.103.161.2,6
2025-04-27 20:43:19,208.103.161.2,100.64.3.15,6
2025-04-27 20:43:19,208.103.161.2,100.64.3.15,6
2025-04-27 20:43:19,100.64.3.15,208.103.161.2,6
2025-04-27 20:43:19,208.103.161.2,100.64.3.15,6
2025-04-27 20:43:20,100.64.12.241,224.0.0.251,17
2025-04-27 20:43:22,100.64.3.38,224.0.0.251,17
2025-04-27 20:43:22,100.64.2.165,224.0.0.251,17
2025-04-27 20:43:23,100.64.3.38,224.0.0.251,17
2025-04-27 20:43:23,104.18.36.252,100.64.3.15,6
2025-04-27 20:43:23,100.64.3.15,104.18.36.252,6
2025-04-27 20:43:23,104.18.36.252,100.64.3.15,6
2025-04-27 20:43:23,100.64.2.165,224.0.0.251,17
2025-04-27 20:43:25,100.64.3.15,104.18.36.252,6
2025-04-27 20:43:25,104.18.36.252,100.64.3.15,6
2025-04-27 20:43:25,100.64.3.15,35.244.251.182,6
2025-04-27 20:43:25,35.244.251.182,100.64.3.15,6
2025-04-27 20:43:26,100.64.3.38,224.0.0.251,17
2025-04-27 20:43:28,100.64.12.60,224.0.0.251,17
2025-04-27 20:43:28,100.64.0.51,224.0.0.251,17
2025-04-27 20:43:28,100.64.12.60,224.0.0.251,17
2025-04-27 20:43:29,100.64.3.15,20.189.173.13,6
2025-04-27 20:43:29,20.189.173.13,100.64.3.15,6
2025-04-27 20:43:29,100.64.3.15,20.189.173.13,6
2025-04-27 20:43:29,100.64.12.241,224.0.0.251,17
2025-04-27 20:43:30,100.64.13.126,224.0.0.251,17
2025-04-27 20:43:31,208.103.161.2,100.64.3.15,6
2025-04-27 20:43:31,100.64.3.15,208.103.161.2,6
2025-04-27 20:43:31,208.103.161.2,100.64.3.15,6
2025-04-27 20:43:31,100.64.13.126,224.0.0.251,17
2025-04-27 20:43:32,100.64.13.126,224.0.0.251,17
2025-04-27 20:43:34,100.64.13.143,224.0.0.251,17
2025-04-27 20:43:34,100.64.13.143,224.0.0.251,17
2025-04-27 20:43:34,100.64.13.143,224.0.0.251,17
2025-04-27 20:43:34,100.64.13.126,224.0.0.251,17
2025-04-27 20:43:34,100.64.13.143,224.0.0.251,17
2025-04-27 20:43:35,100.64.13.143,224.0.0.251,17
2025-04-27 20:43:35,100.64.13.143,224.0.0.251,17
2025-04-27 20:43:35,100.64.3.38,224.0.0.251,17
2025-04-27 20:43:35,100.64.13.143,224.0.0.251,17
2025-04-27 20:43:35,100.64.13.143,224.0.0.251,17
